,From,To
36411,9784,9598
36413,7809,8869
36415,8619,9018
36426,1301,8332
36427,4614,1301
36433,372,8315
36446,9325,1168
36450,9325,3905
36463,2280,5803
36464,2280,6293
36466,663,1699
36469,663,6620
36473,45,3337
36474,45,4818
36475,45,9441
36477,7864,2644
36478,7126,3506
36484,9252,8817
36485,1423,4857
36498,4467,4266
36505,6521,7500
36507,6521,9297
36509,7999,323
36510,7999,327
36514,7999,1352
36528,7999,7466
36530,7999,8066
36534,7365,2812
36547,3108,2688
36553,3108,6786
36559,3055,6819
36561,2094,7724
36562,5485,5488
36581,7704,4688
36597,8650,3285
36611,1582,3984
36612,1582,7321
36622,5689,897
36627,5689,9730
36630,928,3539
36645,4148,1912
36656,4148,8609
36658,3378,4109
36659,6336,4071
36665,3300,7123
36666,3300,8582
36669,9614,8548
36670,1452,2161
36673,4435,1452
36674,4435,8033
36678,9775,3433
36685,3563,9526
36687,3563,9801
36692,5007,7910
36704,9222,2554
36705,9222,3353
36706,9748,3592
36709,8417,4398
36710,8417,9711
36711,2405,1505
36739,7412,5925
36744,8745,6453
36745,8611,3629
36746,8611,5373
36747,8611,6393
36748,7778,5669
36749,7176,7416
36762,1865,4741
36770,7177,5542
36779,6850,8817
36782,7454,4271
36785,8182,3301
36795,5593,1201
36796,5593,2833
36812,8518,8323
36821,5026,1785
36824,5026,4368
36826,5026,7023
36827,4577,8616
36829,8781,9711
36837,4253,9810
36839,8093,6007
36847,8894,1575
36855,329,3546
36858,1572,1030
36859,1572,3676
36860,1546,6426
36861,1546,6714
36866,1070,8201
36870,1427,8119
36873,5357,2778
36874,5357,7913
36875,3875,108
36879,8941,923
36880,8941,1371
36881,8941,6761
36885,6665,5455
36886,6665,6436
36905,8330,1157
36907,8330,7418
36908,8330,9554
36909,4214,43
36943,9845,4394
36951,8224,5141
36955,8224,6363
36961,2377,9122
36963,6065,3955
36964,4001,113
36966,2522,4001
36969,148,2447
36976,7781,838
36977,7781,2315
36978,8792,618
36980,6945,5683
36981,4874,1470
36982,4874,3439
36984,7624,2990
36986,1092,9178
36988,1331,1126
36994,8415,189
36995,8415,1662
36996,8415,1843
36999,8415,3840
37000,8415,4664
37001,8415,6110
37003,8369,3391
37005,8369,7768
37006,5472,1814
37007,5472,3210
37011,5781,456
37017,6027,350
37022,6027,9573
37024,7008,8315
37027,7772,3510
37032,7525,3865
37033,8738,5879
37042,7803,3125
37049,9397,2444
37050,9397,4743
37052,9397,6337
37053,9397,6992
37054,9397,8765
37055,4382,7137
37059,4547,1243
37065,4547,5861
37067,4547,6846
37068,4547,7564
37071,3306,222
37072,3306,5984
37075,7461,4291
37093,8047,9627
37101,7976,2649
37102,7976,5095
37103,5185,3831
37107,6250,4219
37108,8890,1672
37112,8890,4712
37125,8890,9548
37132,7646,1779
37133,7646,2933
37134,7646,3824
37136,7646,7088
37137,7646,7090
37146,9375,3897
37148,9375,5881
37149,3522,2858
37171,6345,6300
37172,5001,2191
37173,5001,4611
37176,5001,7212
37177,5001,7777
37179,4126,6129
37180,7993,3043
37181,7993,4777
37182,3719,4055
37183,3719,8660
37185,6538,2344
37189,4122,3586
37191,1686,5910
37199,1170,1461
37204,1170,5931
37213,3061,6616
37214,3061,9359
37220,9035,8499
37221,9035,8950
37224,5974,6333
37228,2596,8378
37229,9009,1426
37230,9009,2574
37231,9009,6300
37232,8405,353
37234,406,3168
37235,406,7880
37240,5183,2775
37241,5183,7640
37244,2232,9122
37247,4087,864
37248,4087,2235
37251,9466,495
37253,9466,8891
37254,5258,8228
37256,6657,1207
37262,6657,3264
37265,3477,1204
37266,3477,9446
37272,4853,4975
37288,2362,2940
37292,2362,3774
37294,2362,3881
37324,6694,1706
37329,6694,5892
37335,7427,734
37346,7427,9588
37347,5658,9566
37348,262,736
37351,9313,231
37352,9313,1482
37353,1709,8716
37354,2912,5417
37357,8576,2912
37366,5821,423
37367,5821,1118
37368,5821,2236
37369,5821,3278
37372,5821,5077
37374,2163,628
37375,9842,8941
37377,5872,8364
37378,1005,2726
37379,1428,4022
37380,1428,7844
37381,3540,4200
37382,3540,4556
37383,3540,7542
37389,8648,19
37390,8648,398
37397,6227,3817
37398,6841,918
37400,6841,6095
37401,9304,1130
37402,5098,3740
37403,5098,8588
37405,4468,452
37409,4468,6807
37414,7728,1847
37420,1081,2696
37423,1081,4924
37424,1081,7181
37430,9777,1423
37435,1107,6458
37439,3940,8503
37443,668,37
37445,668,9760
37447,4866,3895
37448,8514,4211
37449,8514,4221
37451,8273,1150
37452,809,3095
37453,9537,726
37455,9537,3358
37456,9537,5935
37457,9537,7777
37459,9537,9411
37460,7013,9790
37461,600,4742
37463,5812,522
37472,4584,2901
37474,7535,609
37476,7535,2535
37481,7535,8942
37483,7535,9811
37490,1981,1141
37497,4073,8503
37499,336,4073
37504,8196,2326
37505,9564,9266
37506,5135,3603
37508,1029,4711
37509,1029,5133
37511,3619,3356
37512,3619,9197
37513,2963,5806
37514,2963,8452
37515,8091,8214
37525,6811,2327
37526,6811,2530
37537,2241,1856
37543,2475,507
37544,2475,4697
37545,3474,2872
37551,7522,332
37563,2790,709
37565,560,594
37567,593,560
37571,1451,2850
37572,1451,8534
37575,6349,3228
37576,6349,4202
37577,6349,7668
37578,6349,9285
37590,8663,7255
37598,8663,9760
37601,5725,1287
37602,5725,5721
37603,5725,9059
37605,5948,5379
37609,6312,3614
37622,9024,3757
37623,9024,4023
37624,3262,289
37625,3262,9692
37628,2221,1917
37635,3376,4109
37639,7742,1932
37651,5919,808
37655,5919,9241
37656,2175,73
37657,3269,478
37663,3269,4468
37671,622,1658
37681,9025,3356
37694,9127,2374
37707,498,2466
37708,498,5681
37709,498,6504
37710,498,7776
37713,1472,7201
37714,1472,8072
37715,1472,9509
37717,9106,2258
37726,9106,7989
37727,9106,8508
37728,9106,9411
37733,6381,7742
37736,4723,9144
37746,3027,5823
37749,3027,7686
37760,4546,7072
37764,8981,9377
37768,8908,2545
37782,6926,1098
37784,6926,7453
37786,6279,5096
37787,6279,8548
37794,1638,6971
37796,7911,154
37797,7911,1638
37798,7911,1897
37810,5350,8155
37814,5424,3216
37815,5424,5350
37816,2538,7842
37819,1599,759
37820,1599,4967
37821,8848,6823
37822,8848,6836
37823,3656,8065
37828,3453,6557
37829,3453,6561
37830,3453,8046
37861,5730,5364
37862,5730,5746
37865,6149,3090
37866,6149,4491
37869,6149,7687
37875,4925,4638
37898,7128,8090
37916,7749,2424
37917,7749,2544
37918,7749,4413
37919,7749,4479
37920,7749,8220
37921,7749,8684
37930,7607,3560
37939,9371,3226
37943,9371,7728
37944,1825,1263
37945,1825,3337
37946,1825,4324
37947,1825,8773
37949,3613,4153
37950,2804,7729
37952,4395,7532
37953,4395,9660
37954,8647,237
37955,8647,2588
37956,8647,3725
37957,8647,6400
37959,5899,2249
37963,9480,3047
37964,9480,3221
37968,9480,9703
37969,2541,7166
37970,1343,144
37971,1343,1185
37989,3434,3992
37998,8507,728
38000,8507,3434
38003,8507,5100
38007,8120,8553
38008,4980,6151
38009,3257,2733
38010,3257,5791
38019,7290,2011
38020,7290,3079
38021,7290,4967
38022,7290,5756
38023,7290,8470
38024,7290,9178
38025,5401,7866
38030,5810,918
38032,5810,2798
38041,7666,3680
38043,451,2722
38044,451,4642
38046,451,9409
38050,310,6308
38051,310,7666
38059,7659,3861
38060,7659,5340
38063,7659,8548
38068,258,7453
38069,258,9617
38070,7957,8778
38071,1982,437
38072,1982,5550
38073,1982,6084
38101,8591,4355
38103,8591,7530
38104,6122,1935
38105,6122,5447
38107,5422,4589
38108,2693,5422
38117,9693,9795
38118,8764,227
38119,8764,1003
38120,8170,1733
38121,8170,6098
38132,191,1317
38145,435,8180
38146,7992,435
38147,7992,2901
38157,8833,7220
38159,3311,8664
38160,4464,470
38161,4464,4995
38163,1812,1705
38164,1812,4572
38165,5457,3201
38166,5457,4219
38168,3978,5783
38169,4626,9865
38175,4929,4857
38177,4929,8521
38179,4929,9798
38183,9174,1556
38187,7477,1462
38190,7477,4747
38195,5940,299
38196,5940,9762
38199,3265,1828
38200,3265,4447
38201,4049,7278
38205,3709,2173
38207,3709,7096
38209,9342,4321
38211,3183,2571
38212,3183,9804
38220,7371,6974
38222,4802,7762
38224,1063,1747
38228,1063,3584
38235,1063,8366
38242,1697,9828
38247,3799,1112
38252,2369,5700
38253,2369,6472
38254,5375,4555
38258,8882,4625
38260,1383,7939
38267,9388,5391
38268,9388,7494
38269,9388,8199
38270,6057,6217
38275,2805,9724
38277,1560,6007
38281,2613,5336
38282,2613,6546
38285,2560,7658
38291,8255,5263
38292,4448,2756
38297,8057,4448
38298,8057,7003
38316,1300,7193
38319,3161,3202
38320,3161,8046
38321,4737,1547
38333,1551,6766
38335,2025,8189
38340,9864,4494
38343,9864,8262
38353,1284,5672
38362,6754,1174
38364,6754,1535
38368,6754,6753
38372,8872,7193
38376,670,8663
38377,670,8893
38392,9458,1037
38398,3470,5071
38399,3470,6555
38402,9169,841
38417,1054,950
38420,1054,8910
38421,1054,9655
38425,9233,9050
38429,8752,3757
38430,8752,4589
38434,5966,3973
38435,5966,4349
38436,5966,5144
38437,9519,4660
38439,1790,3820
38440,3277,3533
38441,3277,9633
38448,6782,2806
38451,5335,8916
38470,5578,3844
38471,5578,4327
38472,5578,6258
38473,5578,6312
38475,5578,7093
38476,5578,8679
38478,3933,4224
38479,9152,1432
38480,9152,4367
38482,8802,1125
38484,7501,4527
38487,4416,849
38488,4416,3883
38489,2108,9711
38490,9518,2466
38493,4365,2110
38502,7753,375
38509,499,8332
38519,9744,1133
38520,9744,4613
38521,2689,1063
38522,2689,2167
38524,2689,4043
38525,2689,7592
38526,9464,8664
38527,3918,3848
38528,3918,6555
38529,3918,8259
38530,3350,4819
38550,1746,4740
38560,4273,2457
38566,3854,9542
38567,2920,6349
38568,2920,9013
38569,5331,2829
38571,9438,5331
38573,5086,2747
38575,5086,5712
38584,5147,5086
38586,4296,3910
38588,4296,8549
38589,8820,3990
38590,8820,7665
38592,82,4172
38594,7188,6247
38595,7188,7422
38596,1025,5036
38598,9198,904
38602,6021,8809
38608,7642,3937
38609,7642,4644
38610,8030,4255
38611,8030,4575
38615,8567,753
38617,8567,3706
38619,6060,5709
38620,5661,2850
38625,9200,6007
38626,6361,4096
38627,6361,5479
38633,8449,5640
38634,8449,8438
38635,2151,1137
38637,4256,9012
38638,4017,3298
38642,8340,7503
38643,8340,8452
38644,8340,8541
38647,9164,6425
38649,3148,9188
38653,6529,6925
38656,5553,4921
38659,1844,5609
38661,6405,4588
38665,942,6148
38666,941,942
38667,1516,6483
38668,9113,8871
38678,5246,2516
38680,3067,2037
38683,3067,8752
38684,2026,6681
38685,4722,1978
38686,4722,9061
38690,4686,6793
38699,9662,6323
38700,9662,9648
38701,3786,4270
38702,3786,7054
38706,3786,9488
38708,4696,627
38718,7447,7112
38720,5311,5772
38721,5311,5917
38722,1064,7269
38723,8695,2338
38725,8695,8292
38729,9367,5839
38735,7696,2074
38737,7696,8113
38738,7696,9428
38739,8088,2730
38740,8088,5350
38741,8088,7196
38742,1077,3603
38743,5710,6078
38746,1293,894
38747,1293,4957
38748,5321,399
38751,4958,2506
38760,905,248
38764,905,8427
38776,8772,5516
38777,3622,6027
38788,9008,5635
38790,9008,8601
38793,3461,2004
38794,3461,2999
38795,1219,7380
38796,1219,8976
38798,3475,2754
38799,6571,4175
38806,8526,7762
38807,3662,9795
38808,8583,19
38809,80,290
38811,80,9731
38815,8851,68
38816,8851,319
38817,8851,2516
38818,2192,4086
38819,2192,5988
38820,1069,198
38822,1069,2292
38823,6053,3937
38826,5412,9061
38827,5412,9294
38830,5610,4771
38831,2987,4235
38835,2987,6832
38836,2987,7282
38838,8232,4567
38847,6311,9628
38851,5487,5219
38852,5487,5660
38853,5487,5838
38855,3009,608
38859,3009,5053
38861,3009,8807
38870,4889,6590
38871,4889,7286
38876,6118,4889
38878,8741,6530
38881,2916,6890
38885,6742,2238
38888,6742,6597
38890,6742,7467
38892,4292,6866
38893,4292,8892
38894,4292,9836
38898,1414,6125
38899,8678,8679
38900,8256,4206
38902,845,2911
38903,555,4856
38905,5813,5514
38910,4887,8304
38923,7505,5089
38924,4104,3967
38925,4104,6976
38926,4104,8409
38927,9341,3290
38934,3060,9681
38940,4730,3020
38944,4551,1726
38953,6587,4400
38954,6587,7730
38955,6587,8179
38956,9604,1014
38959,9604,8753
38961,1946,3543
38963,1946,9785
38964,1946,9790
38965,3149,1097
38966,8462,2145
38967,8462,3534
38968,1838,2336
38969,1838,9419
38970,6272,5166
38971,6799,3897
38972,158,1010
38977,158,7524
38978,158,7645
38979,1291,3303
38986,5490,1276
38988,5490,6643
38989,5490,8174
38993,493,629
38998,8502,3653
38999,8502,5666
39001,3821,8186
39002,7368,622
39003,7368,2190
39005,7368,8350
39006,439,4161
39007,439,4201
39011,9030,9403
39013,3670,5425
39014,8843,1568
39015,7323,1836
39017,9851,236
39018,9851,9295
39020,7233,5164
39021,5497,6136
39029,8105,270
39030,8105,3879
39034,321,4265
39035,321,6776
39037,321,9826
39044,1760,2990
39047,8002,4558
39048,8002,6751
39051,1091,2266
39054,4944,785
39055,4944,1091
39072,503,9083
39084,5971,4072
39085,5971,4249
39087,5971,8551
39091,6351,2840
39092,6351,5538
39093,6351,6157
39106,9494,6765
39108,9494,8717
39113,8127,2878
39119,8127,6025
39127,665,9102
39128,5845,665
39133,6383,6350
39134,7700,371
39135,7700,1298
39144,9072,2262
39149,4475,5251
39153,6220,3020
39157,6220,8189
39159,5136,1358
39160,6648,4777
39161,2212,4067
39162,2212,4549
39163,2212,8469
39165,827,6005
39169,1436,9641
39171,4498,1436
39175,4498,5579
39176,8932,6475
39177,3882,6248
39183,6035,4404
39184,6035,4824
39185,6035,8171
39186,6035,9088
39187,5201,2080
39188,2184,2742
39195,2184,8824
39196,2383,2161
39198,2383,9764
39230,6449,3655
39231,6449,4250
39232,6449,5980
39233,6449,7670
39235,8540,7217
39237,6134,208
39241,5970,3190
39246,5613,5970
39247,5613,6338
39249,55,4291
39252,55,7398
39256,1031,6912
39257,1031,8404
39259,5342,8753
39260,9185,1224
39261,9185,9095
39266,9452,9043
39270,8457,617
39271,8457,1512
39272,8457,4205
39273,527,4394
39276,2906,374
39277,2906,3534
39278,958,1311
39285,9319,1945
39287,9319,3902
39288,9319,4848
39290,2593,2232
39291,3007,3251
39301,8169,5041
39303,8169,7970
39305,8169,9816
39308,8361,8364
39310,3660,3063
39317,3660,8551
39321,3096,1933
39322,3096,7397
39337,9249,3056
39338,9249,3372
39343,8710,7173
39345,8581,803
39346,8581,1129
39347,8581,4511
39348,8581,6735
39349,8581,8786
39352,7853,8408
39353,7853,8817
39632,9505,246
39633,9505,621
39634,9505,720
39635,9505,916
39636,9505,1016
39637,9505,1861
39638,9505,2193
39640,9505,4119
39641,9505,4159
39642,9505,4744
39643,9505,5058
39644,9505,6379
39645,9505,6489
39646,9505,7698
39647,9505,8138
39648,9505,8239
39649,9505,8691
39650,1969,165
39652,1969,2228
39661,6666,3380
39667,1082,2507
39668,1082,4479
39671,8676,2003
39673,1065,902
39674,4519,6307
39675,4519,7530
39676,4519,9613
39681,7302,346
39684,7302,7058
39692,3280,4192
39693,3169,3969
39694,3169,5597
39700,9227,3169
39701,9227,6873
39702,9227,8178
39705,4251,878
39706,4251,3770
39710,2968,167
39712,2968,6972
39714,2968,8275
39716,9668,99
39717,8889,2719
39718,8889,8824
39724,1148,6839
39730,6973,1148
39737,7986,4309
39747,5883,2756
39748,5883,4713
39761,5753,6895
39765,9454,9367
39768,7224,6942
39769,7224,7510
39770,3263,3189
39771,3263,3433
39772,3288,6890
39773,797,8539
39776,233,8553
39777,8546,8943
39780,9739,2144
39782,9739,3699
39790,7721,602
39804,8608,4098
39807,4673,1986
39808,9749,8995
39809,9160,5825
39810,9160,8767
39815,5533,2751
39816,5533,4951
39822,2609,2304
39829,2609,7848
39831,2609,7921
39834,6094,5601
39835,6094,6095
39836,6094,8282
39838,5148,8121
39850,7056,8878
39852,8473,1738
39853,8473,5329
39854,8473,6036
39855,8473,7163
39856,8473,9259
39866,2952,3484
39872,5288,6926
39873,1100,4817
39875,5674,1981
39876,5674,4685
39877,5674,8471
39891,6858,3313
39892,4102,3629
39893,4102,8944
39894,8630,6
39895,8630,9442
39897,1417,1981
39899,1417,3103
39903,1417,9377
39928,2339,4848
39931,2339,8297
39933,2125,3345
39934,2125,4246
39935,2125,4262
39936,2125,6005
39937,2125,8166
39938,1689,1205
39939,1689,8667
39940,2153,3965
39942,2153,8768
39943,781,6045
39944,781,6721
39948,4955,4799
39952,2994,2800
39953,2994,4022
39967,4721,1440
39969,4721,3866
39974,4721,9636
39978,756,3732
39979,756,5363
39980,756,6599
39981,6501,2491
39982,9647,3403
39983,9647,4524
39984,9647,5981
39985,9647,9035
39987,6277,6293
39988,7643,1887
39989,7643,5425
39995,6641,1644
39996,6641,8326
39997,1980,2704
40008,6524,8266
40009,1488,4199
40010,1488,7324
40013,8177,8807
40015,1297,8694
40016,5369,3433
40019,7839,3185
40020,4046,4139
40029,7035,7424
40034,4243,7660
40036,3917,6918
40038,6867,4156
40041,6867,7658
40050,5265,7321
40053,9161,321
40054,5023,7454
40056,3069,2529
40058,2557,2421
40059,2557,8422
40060,2557,9700
40070,7206,1769
40071,7206,3787
40072,7206,7123
40075,7692,3822
40079,1892,2836
40080,1892,3526
40081,1892,4907
40083,1892,7744
40084,851,6350
40112,9497,2052
40113,9497,6193
40114,9497,8346
40120,2914,3727
40121,1223,808
40122,1223,5195
40123,1223,5261
40124,5851,3030
40125,5851,3333
40126,5851,5080
40132,5848,9375
40133,9163,5848
40134,9163,7816
40139,681,7974
40140,6603,2291
40150,541,2649
40151,541,4135
40154,2525,541
40155,7515,306
40156,7515,4182
40161,3908,4242
40162,3908,8075
40163,9597,6125
40165,7092,5641
40166,4146,3452
40171,6970,57
40176,5607,7276
40177,5991,5607
40178,5991,6260
40180,8343,6037
40181,8343,6839
40182,8343,9127
40185,6073,4985
40186,6073,7989
40187,3310,6322
40189,3310,8548
40191,479,8990
40192,3692,5506
40201,967,8782
40203,5747,1399
40204,4223,3629
40205,4223,4316
40206,4223,8957
40208,970,4092
40209,970,4105
40210,970,6149
40211,970,7348
40212,970,9339
40214,2841,1003
40216,6001,495
40217,6001,735
40220,6001,3279
40231,4900,918
40232,1123,5629
40233,1123,8180
40234,779,4544
40235,779,5116
40236,779,5868
40240,6929,3842
40244,2307,1316
40249,9396,5295
40250,9396,7128
40252,6977,2854
40254,6977,4407
40255,7,3770
40256,7,6977
40257,6304,6433
40258,6622,3339
40261,1020,1881
40262,1020,2966
40265,1020,5172
40273,7227,4770
40274,7227,5287
40279,3347,1020
40281,3347,6859
40284,3347,9298
40285,6882,567
40286,6882,3347
40289,1453,6003
40290,1453,9235
40292,4698,4407
40294,6294,5520
40295,9835,260
40296,9835,4105
40297,9835,9855
40299,4489,9817
40300,8131,8326
40302,4492,4992
40305,8230,2397
40306,8230,9617
40311,5796,2201
40313,5796,3977
40314,5796,6596
40319,6145,3266
40320,6145,4637
40327,2789,1814
40330,2789,6362
40331,5877,3660
40332,5877,5259
40333,5877,8793
40337,8816,2818
40338,8816,2983
40343,8816,4592
40346,8816,7975
40356,2711,7416
40357,7063,444
40358,7063,8840
40359,1496,1467
40360,1496,4209
40368,7837,7867
40369,7837,8702
40373,1229,1314
40376,1229,7397
40378,1229,9203
40388,9090,1916
40389,9090,2350
40391,9090,7358
40392,1620,429
40396,1620,4547
40400,6885,2553
40401,6885,9735
40402,9589,3935
40403,9589,9326
40406,5276,2918
40407,5276,3716
40410,3102,2672
40411,3102,9531
40412,2575,9286
40413,1059,479
40416,8853,7537
40417,7167,1154
40418,7167,6996
40424,3790,2297
40425,3790,2951
40426,3790,3140
40430,3790,9371
40433,4254,7607
40434,121,516
40436,121,4529
40437,121,4549
40438,121,9827
40442,3618,3335
40443,3618,5287
40444,3618,9138
40445,4459,431
40446,4459,1429
40448,9027,3527
40451,6024,1362
40457,6024,8106
40464,8411,7151
40471,1073,512
40472,1073,6425
40473,1073,7269
40474,7064,8359
40476,4515,8007
40478,5216,1710
40480,5216,6210
40483,4070,3743
40489,6683,2500
40491,6683,3341
40492,4482,7154
40493,4482,7562
40495,3696,2450
40499,3696,8541
40500,3696,9711
40501,5558,593
40502,8082,3125
40503,8082,5622
40504,3274,8340
40506,9479,4560
40507,9479,8305
40514,6897,1950
40515,6897,7275
40516,6897,9048
40521,8803,8557
40529,6686,5618
40533,8923,7102
40534,8309,264
40544,589,1846
40545,589,2306
40550,589,7252
40551,589,8372
40554,4210,9596
40560,6081,6033
40561,6081,6703
40562,6081,7035
40563,3129,6530
40564,3129,8885
40566,8827,2463
40568,8827,5644
40569,8827,6631
40574,8195,8778
40583,9426,1228
40584,9426,2819
40585,9426,4702
40586,7877,5
40587,7877,964
40588,7877,8097
40589,1791,2769
40590,1791,5911
40596,2413,900
40598,2413,1506
40601,2413,2776
40603,2413,5117
40604,2413,6394
40608,2413,6779
40611,2413,8307
40612,2413,8671
40617,2873,748
40618,2873,7153
40619,2873,8685
40620,2873,8700
40623,4089,9421
40627,8250,4089
40631,8250,7533
40633,581,8163
40634,581,9141
40635,581,9493
40636,1522,2332
40638,1522,8685
40639,7759,503
40640,7759,7752
40644,1498,2520
40648,2022,484
40651,2022,2778
40655,2022,8018
40656,2022,8147
40657,2022,9083
40660,9189,7264
40661,9189,7734
40665,4231,8068
40666,2443,1405
40668,2443,6072
40670,2443,7436
40671,3283,4234
40676,3283,8942
40677,3283,9570
40683,2451,159
40684,2451,1239
40685,2451,1533
40686,2451,2462
40687,2451,2941
40688,2451,7277
40689,2451,9122
40690,7605,575
40691,7605,1098
40692,2666,6496
40693,944,7454
40694,5038,293
40700,5038,5358
40701,5038,6616
40704,5038,8948
40705,7504,3150
40706,7504,9360
40711,5346,1666
40718,5346,8141
40721,3762,2384
40726,8599,4348
40727,8599,5319
40736,6513,5859
40737,6513,7692
40738,6513,9437
40741,5894,3814
40742,5894,9763
40744,5348,4966
40745,5348,5045
40754,1549,5812
40760,3942,2184
40761,3942,3066
40762,3942,6196
40763,3942,6474
40764,6421,7768
40768,6738,2553
40771,6738,5219
40778,6738,9247
40780,9792,3103
40782,3357,9243
40788,9,327
40789,3259,7443
40791,9115,2352
40792,9115,4937
40795,5843,3965
40796,5843,6616
40799,5534,108
40800,5534,4748
40802,5757,3633
40803,5757,4979
40804,5757,5366
40805,5757,5464
40806,4052,5776
40807,4052,6353
40808,6239,7772
40836,4167,12
40837,4167,76
40838,4167,5686
40845,3834,244
40846,3834,885
40847,3834,6363
40848,6189,9021
40849,6189,9286
40858,7964,285
40859,7964,3911
40861,7964,8263
40862,1132,96
40863,917,1111
40864,917,7813
40865,917,9645
40876,4149,4992
40877,4149,6998
40880,302,4203
40882,1445,3285
40884,2223,9448
40889,1457,6148
40896,2146,4298
40897,2146,5817
40898,4844,7430
40900,3141,366
40901,5233,5189
40902,5233,5350
40903,7241,7842
40905,6515,676
40906,6515,1100
40908,6515,2755
40909,6515,6350
40914,9084,8070
40915,9084,8154
40916,569,2004
40917,569,3574
40918,569,4804
40919,569,5332
40925,7769,840
40926,7769,3463
40927,7769,7289
40928,1149,8495
40929,9251,1493
40930,3892,4193
40935,2866,5623
40938,7860,2184
40939,7860,3663
40952,7621,196
40953,7621,1993
40954,7621,5171
40955,7621,5462
40956,8812,1130
40961,1109,6645
40980,6756,9215
40981,5836,325
40983,5836,3759
40987,5836,9264
40988,1874,532
40989,1874,2135
40990,123,9286
40992,7053,7440
40993,7053,7948
41027,7124,5358
41028,7124,5395
41035,3994,1721
41036,3994,3498
41038,3994,4754
41039,3994,5649
41040,3994,9413
41041,5855,1830
41042,5855,5963
41046,4766,4618
41049,9209,1868
41050,9209,8161
41054,6618,2901
41055,6618,6684
41057,2349,5213
41066,5961,4386
41067,5961,4518
41068,5961,5145
41069,5961,7530
41074,4101,1827
41101,5159,2663
41102,5159,2664
41103,5159,7121
41104,5159,8513
41105,9118,997
41110,662,497
41111,662,877
41127,2921,4850
41131,8083,1924
41133,960,1250
41134,960,1637
41136,960,6890
41138,5285,195
41139,5285,960
41140,5285,8117
41141,7026,7980
41142,8116,6064
41143,1679,3405
41144,1679,5366
41149,8056,7541
41150,1135,497
41152,1135,5584
41158,1752,634
41159,1752,1714
41161,6728,1302
41163,4165,4896
41164,4165,8816
41165,2765,224
41169,2765,8430
41174,9195,6385
41182,5256,3601
41183,937,6383
41185,3217,5350
41186,3195,4276
41187,3195,6528
41188,5444,3240
41189,5444,5734
41190,852,4676
41212,7113,5069
41213,7113,6635
41214,7113,6776
41215,7113,7858
41227,2972,2119
41231,740,8576
41232,9306,383
41233,9306,7724
41234,5535,1049
41235,5535,8788
41236,5535,8934
41237,5535,9131
41243,5416,1620
41247,5416,3340
41248,5416,5265
41254,5416,7506
41267,172,171
41268,172,6780
41269,172,9003
41273,9530,1350
41274,9530,4185
41275,9530,5286
41276,3099,6431
41283,8123,2889
41288,6031,4886
41289,6031,6032
41290,6031,6851
41291,4133,4886
41292,3282,3681
41293,3282,4882
41299,7194,8412
41301,7818,2843
41307,5304,2872
41309,5304,8699
41311,5304,9721
41312,2783,3084
41313,2783,5092
41325,2974,3765
41326,2974,4215
41336,7180,1166
41337,7180,1728
41339,7180,4683
41340,368,4243
41341,368,4535
41343,368,8608
41344,368,8726
41345,5833,9240
41352,6939,2213
41353,6939,8863
41356,1195,7626
41359,4345,6551
41360,4345,8151
41361,9695,2256
41362,9695,3756
41363,9695,5843
41364,9695,8912
41369,8381,3958
41371,4140,1930
41373,4140,5766
41375,4140,7388
41376,4140,7938
41377,4140,8214
41378,5446,8855
41379,2865,4731
41382,1694,2883
41384,1835,4739
41388,6077,3859
41392,3708,3512
41395,3708,6001
41399,3014,5721
41401,4840,2520
41406,4840,8142
41410,8122,6102
41412,9124,5834
41413,9124,6733
41415,5808,6550
41417,9782,1857
41418,9782,3563
41419,2242,2371
41429,3502,1559
41434,3336,4770
41441,9253,3336
41442,9253,4559
41445,6876,6875
41446,3520,3560
41464,6713,7055
41473,8578,6715
41475,9153,3152
41476,9153,4480
41477,9153,8578
41483,2046,2767
41491,8520,1111
41492,8520,2046
41493,8520,2439
41494,8520,5887
41496,882,6177
41497,882,8575
41498,7855,659
41500,7855,9239
41501,8918,1214
41502,8918,3922
41503,2217,889
41504,2217,7299
41505,8703,1876
41506,9701,1060
41512,9701,5609
41513,9701,5685
41514,9701,9333
41515,36,2254
41516,36,3634
41517,36,8247
41518,3158,3123
41521,3158,9693
41523,6479,2618
41526,653,4300
41527,653,7786
41534,5509,7342
41539,4801,2221
41540,4801,2657
41541,4801,5509
41543,7487,1233
41544,7487,4801
41546,7487,9721
41568,7107,5615
41582,8060,7535
41584,8060,8549
41586,8060,9034
41587,8060,9286
41588,3491,2574
41589,3491,8551
41591,6346,8696
41598,9576,3433
41599,9576,3997
41600,9576,9015
41602,4679,271
41603,3906,1292
41604,3906,3153
41610,8881,6427
41612,8881,8153
41618,6280,3337
41624,3138,8159
41626,5380,3747
41627,5380,5899
41628,5380,9648
41629,5752,5426
41630,5752,8266
41633,6062,2129
41634,6062,3965
41649,4926,1416
41650,4926,5040
41652,648,6007
41653,979,3157
41654,4142,3977
41655,4142,5282
41658,7654,7653
41660,7654,9210
41661,5755,9232
41662,2673,4851
41664,2673,9602
41665,2673,9783
41666,7887,4583
41668,7887,8456
41669,7887,9213
41671,8856,1759
41676,8146,5508
41677,8146,9755
41678,5871,3738
41681,5871,8065
41682,3703,9460
41684,9726,1617
41685,9726,9113
41686,7417,6949
41687,7417,9554
41688,5873,249
41690,1194,84
41691,9047,7416
41693,5123,2112
